dob_yy,birth_month,dob_mm,percent_above_avg
1999,December,12,1.01
1999,November,11,-4.44
1999,October,10,0.97
1999,September,9,5.96
1999,August,8,6.71
1999,July,7,6.42
1999,June,6,1.07
1999,May,5,0.08
1999,April,4,-3.52
1999,March,3,1.3
1999,February,2,-9.38
1999,January,1,-2.82
1998,December,12,1.67
1998,November,11,-4.52
1998,October,10,1.6
1998,September,9,4.95
1998,August,8,5.63
1998,July,7,6.97
1998,June,6,0.41
1998,May,5,1.58
1998,April,4,-1.71
1998,March,3,1.4
1998,February,2,-7.86
1998,January,1,-1.33
1997,December,12,1.83
1997,November,11,-4.81
1997,October,10,1.75
1997,September,9,3.08
1997,August,8,4.72
1997,July,7,6.79
1997,June,6,-0.76
1997,May,5,1.92
1997,April,4,-2.94
1997,March,3,-0.73
1997,February,2,-9.93
1997,January,1,-2.25
1996,December,12,-0.57
1996,November,11,-4.41
1996,October,10,3.88
1996,September,9,4.05
1996,August,8,7.06
1996,July,7,6.58
1996,June,6,-1.55
1996,May,5,0.39
1996,April,4,-3.87
1996,March,3,-0.71
1996,February,2,-7.26
1996,January,1,-3.24
1995,December,12,-3.07
1995,November,11,-4.63
1995,October,10,1.03
1995,September,9,3.8
1995,August,8,7.35
1995,July,7,4.3
1995,June,6,0.78
1995,May,5,2.23
1995,April,4,-5.45
1995,March,3,0.27
1995,February,2,-10.18
1995,January,1,-3.97
1994,December,12,-0.8
1994,November,11,-3.13
1994,October,10,0.21
1994,September,9,2.89
1994,August,8,6.58
1994,July,7,4.69
1994,June,6,-0.36
1994,May,5,-0.34
1994,April,4,-4.37
1994,March,3,2.12
1994,February,2,-9.48
1994,January,1,-3.75
1993,December,12,-0.67
1993,November,11,-5.24
1993,October,10,-0.42
1993,September,9,3.81
1993,August,8,4.69
1993,July,7,5.23
1993,June,6,-0.08
1993,May,5,0.01
1993,April,4,-2.86
1993,March,3,1.48
1993,February,2,-9.59
1993,January,1,-4.37
1992,December,12,-0.3
1992,November,11,-5.04
1992,October,10,1.3
1992,September,9,2.34
1992,August,8,2.54
1992,July,7,5.06
1992,June,6,-0.71
1992,May,5,0.72
1992,April,4,-2.66
1992,March,3,-0.92
1992,February,2,-8.05
1992,January,1,-2.47
1991,December,12,-0.4
1991,November,11,-5.42
1991,October,10,1.75
1991,September,9,3.68
1991,August,8,6.77
1991,July,7,5.49
1991,June,6,-2.95
1991,May,5,2.19
1991,April,4,-2.89
1991,March,3,-0.48
1991,February,2,-10.73
1991,January,1,-3.28
1990,December,12,-2.84
1990,November,11,-3.83
1990,October,10,2.14
1990,September,9,3.96
1990,August,8,7.99
1990,July,7,6.75
1990,June,6,1.11
1990,May,5,3.28
1990,April,4,-1.46
1990,March,3,3.14
1990,February,2,-7.8
1990,January,1,-0.81
1989,December,12,-0.28
1989,November,11,-2.99
1989,October,10,2.84
1989,September,9,7.13
1989,August,8,10.2
1989,July,7,7.55
1989,June,6,2.46
1989,May,5,1.92
1989,April,4,-3.15
1989,March,3,3.54
1989,February,2,-8.07
1989,January,1,-1.9
1988,December,12,-1.17
1988,November,11,-3.48
1988,October,10,1.94
1988,September,9,6.88
1988,August,8,9.49
1988,July,7,7.73
1988,June,6,2.53
1988,May,5,1.82
1988,April,4,-3.27
1988,March,3,0.76
1988,February,2,-6.48
1988,January,1,-2.42
1987,December,12,0.88
1987,November,11,-3.31
1987,October,10,3.38
1987,September,9,6.02
1987,August,8,5.14
1987,July,7,6.67
1987,June,6,1.85
1987,May,5,1.81
1987,April,4,-1.92
1987,March,3,1.27
1987,February,2,-9.45
1987,January,1,-2.54
1986,December,12,-0.11
1986,November,11,-6.28
1986,October,10,1.77
1986,September,9,6.47
1986,August,8,6.45
1986,July,7,6.58
1986,June,6,-1.96
1986,May,5,0.67
1986,April,4,-3.16
1986,March,3,-0.45
1986,February,2,-9.95
1986,January,1,-2.36
1985,December,12,-0.84
1985,November,11,-2.86
1985,October,10,4.9
1985,September,9,8.44
1985,August,8,11.19
1985,July,7,11.07
1985,June,6,3.76
1985,May,5,7.88
1985,April,4,3.78
1985,March,3,8.08
1985,February,2,-1.22
1985,January,1,7.52
1984,December,12,-1.48
1984,November,11,-3.03
1984,October,10,5.3
1984,September,9,7.3
1984,August,8,10.73
1984,July,7,7.95
1984,June,6,-0.71
1984,May,5,-0.84
1984,April,4,-5.45
1984,March,3,0.38
1984,February,2,-7.06
1984,January,1,-3.59
1983,December,12,-1.55
1983,November,11,-4.14
1983,October,10,0.56
1983,September,9,3.14
1983,August,8,6.02
1983,July,7,4.12
1983,June,6,-0.82
1983,May,5,-1.19
1983,April,4,-4.39
1983,March,3,1.3
1983,February,2,-9.64
1983,January,1,-2.94
1982,December,12,-2.3
1982,November,11,-3.7
1982,October,10,2.46
1982,September,9,6.7
1982,August,8,7.8
1982,July,7,7.64
1982,June,6,0.9
1982,May,5,0.73
1982,April,4,-3.88
1982,March,3,1.11
1982,February,2,-8.29
1982,January,1,-1.2
1981,December,12,0.35
1981,November,11,-3.95
1981,October,10,2.19
1981,September,9,5.81
1981,August,8,9.1
1981,July,7,8.19
1981,June,6,-1.38
1981,May,5,-1.76
1981,April,4,-5.34
1981,March,3,-0.03
1981,February,2,-9.26
1981,January,1,-2.19
